dataset_name,split,category,seq_num,domain_s1,n_s1,s1_1st,s1_tr,normalize,config_file
TSB-M-STABLE036,M,STABLE,36,Medical,85,5521,5421,per_series,configs\tsb_auto\TSB-M-STABLE036__resnet.yaml
TSB-M-STABLE037,M,STABLE,37,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-STABLE037__resnet.yaml
TSB-M-STABLE039,M,STABLE,39,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-STABLE039__resnet.yaml
TSB-M-STABLE040,M,STABLE,40,Medical,1297,83083,50000,per_series,configs\tsb_auto\TSB-M-STABLE040__resnet.yaml
TSB-M-STABLE042,M,STABLE,42,Sensor,73,4770,2117,global,configs\tsb_auto\TSB-M-STABLE042__resnet.yaml
TSB-M-STABLE045,M,STABLE,45,Medical,1665,106634,50000,per_series,configs\tsb_auto\TSB-M-STABLE045__resnet.yaml
TSB-M-STABLE046,M,STABLE,46,Sensor,83,5400,2133,global,configs\tsb_auto\TSB-M-STABLE046__resnet.yaml
TSB-M-STABLE047,M,STABLE,47,Sensor,1249,80001,50000,global,configs\tsb_auto\TSB-M-STABLE047__resnet.yaml
TSB-M-STABLE049,M,STABLE,49,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-STABLE049__resnet.yaml
TSB-M-STABLE050,M,STABLE,50,Sensor,99,6449,2160,global,configs\tsb_auto\TSB-M-STABLE050__resnet.yaml
TSB-M-STABLE051,M,STABLE,51,Medical,203,13073,12973,per_series,configs\tsb_auto\TSB-M-STABLE051__resnet.yaml
TSB-M-STABLE052,M,STABLE,52,Sensor,77,5000,2126,global,configs\tsb_auto\TSB-M-STABLE052__resnet.yaml
TSB-M-STABLE055,M,STABLE,55,Sensor,83,5394,2077,global,configs\tsb_auto\TSB-M-STABLE055__resnet.yaml
TSB-M-STABLE056,M,STABLE,56,Sensor,1974,126448,50000,global,configs\tsb_auto\TSB-M-STABLE056__resnet.yaml
TSB-M-STABLE057,M,STABLE,57,Medical,815,52255,25000,per_series,configs\tsb_auto\TSB-M-STABLE057__resnet.yaml
TSB-M-STABLE058,M,STABLE,58,Medical,1611,103211,37500,per_series,configs\tsb_auto\TSB-M-STABLE058__resnet.yaml
TSB-M-STABLE060,M,STABLE,60,Facility,164,10609,7176,global,configs\tsb_auto\TSB-M-STABLE060__resnet.yaml
TSB-M-STABLE061,M,STABLE,61,Medical,203,13073,12973,per_series,configs\tsb_auto\TSB-M-STABLE061__resnet.yaml
TSB-M-STABLE062,M,STABLE,62,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-STABLE062__resnet.yaml
TSB-M-STABLE063,M,STABLE,63,Sensor,1905,122001,50000,global,configs\tsb_auto\TSB-M-STABLE063__resnet.yaml
TSB-M-STABLE064,M,STABLE,64,Medical,190,12267,12167,per_series,configs\tsb_auto\TSB-M-STABLE064__resnet.yaml
TSB-M-STABLE067,M,STABLE,67,Sensor,2264,145001,50000,global,configs\tsb_auto\TSB-M-STABLE067__resnet.yaml
TSB-M-STABLE069,M,STABLE,69,Medical,1297,83083,50000,per_series,configs\tsb_auto\TSB-M-STABLE069__resnet.yaml
TSB-M-STABLE071,M,STABLE,71,Facility,209,13484,11665,global,configs\tsb_auto\TSB-M-STABLE071__resnet.yaml
TSB-M-STABLE073,M,STABLE,73,Facility,209,13484,11665,global,configs\tsb_auto\TSB-M-STABLE073__resnet.yaml
TSB-M-STABLE074,M,STABLE,74,Sensor,85,5550,2075,global,configs\tsb_auto\TSB-M-STABLE074__resnet.yaml
TSB-M-STABLE075,M,STABLE,75,Sensor,1014,65001,50000,global,configs\tsb_auto\TSB-M-STABLE075__resnet.yaml
TSB-M-STABLE076,M,STABLE,76,Sensor,73,4770,2117,global,configs\tsb_auto\TSB-M-STABLE076__resnet.yaml
TSB-M-STABLE077,M,STABLE,77,Sensor,86,5610,2075,global,configs\tsb_auto\TSB-M-STABLE077__resnet.yaml
TSB-M-STABLE078,M,STABLE,78,Sensor,1328,85076,50000,global,configs\tsb_auto\TSB-M-STABLE078__resnet.yaml
TSB-M-STABLE079,M,STABLE,79,Sensor,83,5400,2133,global,configs\tsb_auto\TSB-M-STABLE079__resnet.yaml
TSB-M-STABLE080,M,STABLE,80,Sensor,2264,145001,50000,global,configs\tsb_auto\TSB-M-STABLE080__resnet.yaml
TSB-M-STABLE085,M,STABLE,85,Facility,209,13484,11665,global,configs\tsb_auto\TSB-M-STABLE085__resnet.yaml
TSB-M-STABLE086,M,STABLE,86,Sensor,99,6449,2160,global,configs\tsb_auto\TSB-M-STABLE086__resnet.yaml
TSB-M-STABLE088,M,STABLE,88,Facility,195,12590,10766,global,configs\tsb_auto\TSB-M-STABLE088__resnet.yaml
TSB-M-STABLE090,M,STABLE,90,Medical,898,57595,50000,per_series,configs\tsb_auto\TSB-M-STABLE090__resnet.yaml
TSB-M-STABLE091,M,STABLE,91,Facility,235,15144,7176,global,configs\tsb_auto\TSB-M-STABLE091__resnet.yaml
TSB-M-STABLE093,M,STABLE,93,Medical,98,6364,6264,per_series,configs\tsb_auto\TSB-M-STABLE093__resnet.yaml
TSB-M-STABLE095,M,STABLE,95,Medical,1387,88864,37500,per_series,configs\tsb_auto\TSB-M-STABLE095__resnet.yaml
TSB-M-STABLE097,M,STABLE,97,Sensor,78,5060,2011,global,configs\tsb_auto\TSB-M-STABLE097__resnet.yaml
TSB-M-STABLE098,M,STABLE,98,Medical,858,54982,50000,per_series,configs\tsb_auto\TSB-M-STABLE098__resnet.yaml
TSB-M-STABLE100,M,STABLE,100,Sensor,77,5000,2129,global,configs\tsb_auto\TSB-M-STABLE100__resnet.yaml
TSB-U-DRIFT005,U,DRIFT,5,WebService,201,6465,4520,global,configs\tsb_auto\TSB-U-DRIFT005__resnet.yaml
TSB-U-DRIFT006,U,DRIFT,6,WebService,435,13973,4559,global,configs\tsb_auto\TSB-U-DRIFT006__resnet.yaml
TSB-U-DRIFT009,U,DRIFT,9,WebService,510,16362,4559,global,configs\tsb_auto\TSB-U-DRIFT009__resnet.yaml
TSB-U-DRIFT010,U,DRIFT,10,Facility,202,6527,3000,global,configs\tsb_auto\TSB-U-DRIFT010__resnet.yaml
TSB-U-DRIFT011,U,DRIFT,11,Medical,141,4556,4456,per_series,configs\tsb_auto\TSB-U-DRIFT011__resnet.yaml
TSB-U-DRIFT012,U,DRIFT,12,Facility,516,16551,4512,global,configs\tsb_auto\TSB-U-DRIFT012__resnet.yaml
TSB-U-DRIFT013,U,DRIFT,13,Facility,92,2980,1007,global,configs\tsb_auto\TSB-U-DRIFT013__resnet.yaml
TSB-U-DRIFT014,U,DRIFT,14,WebService,399,12816,4559,global,configs\tsb_auto\TSB-U-DRIFT014__resnet.yaml
TSB-U-DRIFT016,U,DRIFT,16,WebService,319,10254,4559,global,configs\tsb_auto\TSB-U-DRIFT016__resnet.yaml
TSB-U-DRIFT018,U,DRIFT,18,Synthetic,82,2679,1007,global,configs\tsb_auto\TSB-U-DRIFT018__resnet.yaml
TSB-U-DRIFT019,U,DRIFT,19,HumanActivity,3461,110800,48750,per_series,configs\tsb_auto\TSB-U-DRIFT019__resnet.yaml
TSB-U-DRIFT020,U,DRIFT,20,WebService,173,5596,4548,global,configs\tsb_auto\TSB-U-DRIFT020__resnet.yaml
TSB-U-DRIFT022,U,DRIFT,22,Medical,115,3718,3618,per_series,configs\tsb_auto\TSB-U-DRIFT022__resnet.yaml
TSB-U-DRIFT024,U,DRIFT,24,Medical,364,11687,11587,per_series,configs\tsb_auto\TSB-U-DRIFT024__resnet.yaml
TSB-U-DRIFT025,U,DRIFT,25,HumanActivity,85,2764,1671,per_series,configs\tsb_auto\TSB-U-DRIFT025__resnet.yaml
TSB-U-DRIFT026,U,DRIFT,26,WebService,432,13861,3934,global,configs\tsb_auto\TSB-U-DRIFT026__resnet.yaml
TSB-U-DRIFT027,U,DRIFT,27,Synthetic,84,2734,1007,global,configs\tsb_auto\TSB-U-DRIFT027__resnet.yaml
TSB-U-DRIFT028,U,DRIFT,28,WebService,107,3468,3296,global,configs\tsb_auto\TSB-U-DRIFT028__resnet.yaml
TSB-U-DRIFT029,U,DRIFT,29,Medical,141,4556,4456,per_series,configs\tsb_auto\TSB-U-DRIFT029__resnet.yaml
TSB-U-DRIFT030,U,DRIFT,30,WebService,187,6039,4584,global,configs\tsb_auto\TSB-U-DRIFT030__resnet.yaml
TSB-U-DRIFT031,U,DRIFT,31,WebService,432,13861,3934,global,configs\tsb_auto\TSB-U-DRIFT031__resnet.yaml
TSB-U-DRIFT032,U,DRIFT,32,WebService,108,3492,3392,global,configs\tsb_auto\TSB-U-DRIFT032__resnet.yaml
TSB-U-DRIFT033,U,DRIFT,33,WebService,121,3914,3309,global,configs\tsb_auto\TSB-U-DRIFT033__resnet.yaml
TSB-U-DRIFT034,U,DRIFT,34,WebService,449,14404,4559,global,configs\tsb_auto\TSB-U-DRIFT034__resnet.yaml
TSB-U-DRIFT036,U,DRIFT,36,WebService,220,7097,4297,global,configs\tsb_auto\TSB-U-DRIFT036__resnet.yaml
TSB-U-DRIFT037,U,DRIFT,37,Facility,145,4696,4596,global,configs\tsb_auto\TSB-U-DRIFT037__resnet.yaml
TSB-U-DRIFT038,U,DRIFT,38,WebService,160,5154,3919,global,configs\tsb_auto\TSB-U-DRIFT038__resnet.yaml
TSB-U-DRIFT039,U,DRIFT,39,Medical,196,6332,6232,per_series,configs\tsb_auto\TSB-U-DRIFT039__resnet.yaml
TSB-U-DRIFT041,U,DRIFT,41,WebService,234,7531,3934,global,configs\tsb_auto\TSB-U-DRIFT041__resnet.yaml
TSB-U-DRIFT042,U,DRIFT,42,WebService,317,10201,4559,global,configs\tsb_auto\TSB-U-DRIFT042__resnet.yaml
TSB-U-DRIFT043,U,DRIFT,43,Medical,1717,54982,50000,per_series,configs\tsb_auto\TSB-U-DRIFT043__resnet.yaml
TSB-U-DRIFT045,U,DRIFT,45,WebService,107,3471,3371,global,configs\tsb_auto\TSB-U-DRIFT045__resnet.yaml
TSB-U-DRIFT046,U,DRIFT,46,Facility,145,4696,4596,global,configs\tsb_auto\TSB-U-DRIFT046__resnet.yaml
TSB-U-DRIFT047,U,DRIFT,47,WebService,212,6828,4521,global,configs\tsb_auto\TSB-U-DRIFT047__resnet.yaml
TSB-U-DRIFT048,U,DRIFT,48,HumanActivity,1202,38500,16250,per_series,configs\tsb_auto\TSB-U-DRIFT048__resnet.yaml
TSB-U-DRIFT049,U,DRIFT,49,WebService,268,8618,4559,global,configs\tsb_auto\TSB-U-DRIFT049__resnet.yaml
TSB-U-DRIFT050,U,DRIFT,50,Medical,554,17775,17675,per_series,configs\tsb_auto\TSB-U-DRIFT050__resnet.yaml
TSB-U-DRIFT051,U,DRIFT,51,Facility,417,13400,7500,global,configs\tsb_auto\TSB-U-DRIFT051__resnet.yaml
TSB-U-DRIFT052,U,DRIFT,52,WebService,296,9529,4436,global,configs\tsb_auto\TSB-U-DRIFT052__resnet.yaml
TSB-U-DRIFT053,U,DRIFT,53,WebService,302,9714,4559,global,configs\tsb_auto\TSB-U-DRIFT053__resnet.yaml
TSB-U-DRIFT054,U,DRIFT,54,WebService,142,4599,4499,global,configs\tsb_auto\TSB-U-DRIFT054__resnet.yaml
TSB-U-DRIFT055,U,DRIFT,55,WebService,449,14411,4559,global,configs\tsb_auto\TSB-U-DRIFT055__resnet.yaml
TSB-U-DRIFT057,U,DRIFT,57,WebService,216,6975,4559,global,configs\tsb_auto\TSB-U-DRIFT057__resnet.yaml
TSB-U-DRIFT058,U,DRIFT,58,WebService,319,10254,4559,global,configs\tsb_auto\TSB-U-DRIFT058__resnet.yaml
TSB-U-DRIFT059,U,DRIFT,59,WebService,283,9102,4559,global,configs\tsb_auto\TSB-U-DRIFT059__resnet.yaml
TSB-U-DRIFT060,U,DRIFT,60,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-DRIFT060__resnet.yaml
TSB-U-DRIFT061,U,DRIFT,61,WebService,432,13861,3934,global,configs\tsb_auto\TSB-U-DRIFT061__resnet.yaml
TSB-U-DRIFT062,U,DRIFT,62,Medical,396,12707,12607,per_series,configs\tsb_auto\TSB-U-DRIFT062__resnet.yaml
TSB-U-DRIFT063,U,DRIFT,63,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-DRIFT063__resnet.yaml
TSB-U-DRIFT064,U,DRIFT,64,WebService,220,7083,3821,global,configs\tsb_auto\TSB-U-DRIFT064__resnet.yaml
TSB-U-DRIFT065,U,DRIFT,65,Facility,494,15849,7119,global,configs\tsb_auto\TSB-U-DRIFT065__resnet.yaml
TSB-U-DRIFT066,U,DRIFT,66,Medical,427,13720,13620,per_series,configs\tsb_auto\TSB-U-DRIFT066__resnet.yaml
TSB-U-DRIFT069,U,DRIFT,69,WebService,161,5196,4296,global,configs\tsb_auto\TSB-U-DRIFT069__resnet.yaml
TSB-U-DRIFT070,U,DRIFT,70,WebService,332,10672,4559,global,configs\tsb_auto\TSB-U-DRIFT070__resnet.yaml
TSB-U-DRIFT073,U,DRIFT,73,WebService,220,7083,3821,global,configs\tsb_auto\TSB-U-DRIFT073__resnet.yaml
TSB-U-DRIFT074,U,DRIFT,74,Medical,171,5521,5421,per_series,configs\tsb_auto\TSB-U-DRIFT074__resnet.yaml
TSB-U-DRIFT075,U,DRIFT,75,Facility,145,4696,4596,global,configs\tsb_auto\TSB-U-DRIFT075__resnet.yaml
TSB-U-DRIFT077,U,DRIFT,77,Facility,386,12400,9000,global,configs\tsb_auto\TSB-U-DRIFT077__resnet.yaml
TSB-U-DRIFT079,U,DRIFT,79,WebService,128,4137,4037,global,configs\tsb_auto\TSB-U-DRIFT079__resnet.yaml
TSB-U-DRIFT080,U,DRIFT,80,WebService,263,8461,4559,global,configs\tsb_auto\TSB-U-DRIFT080__resnet.yaml
TSB-U-DRIFT081,U,DRIFT,81,WebService,449,14411,4559,global,configs\tsb_auto\TSB-U-DRIFT081__resnet.yaml
TSB-U-DRIFT082,U,DRIFT,82,Synthetic,86,2787,1007,global,configs\tsb_auto\TSB-U-DRIFT082__resnet.yaml
TSB-U-DRIFT083,U,DRIFT,83,WebService,298,9592,4448,global,configs\tsb_auto\TSB-U-DRIFT083__resnet.yaml
TSB-U-DRIFT084,U,DRIFT,84,Facility,472,15144,5000,global,configs\tsb_auto\TSB-U-DRIFT084__resnet.yaml
TSB-U-DRIFT088,U,DRIFT,88,Facility,728,23355,17500,global,configs\tsb_auto\TSB-U-DRIFT088__resnet.yaml
TSB-U-DRIFT089,U,DRIFT,89,WebService,298,9592,4448,global,configs\tsb_auto\TSB-U-DRIFT089__resnet.yaml
TSB-U-DRIFT091,U,DRIFT,91,WebService,109,3542,3442,global,configs\tsb_auto\TSB-U-DRIFT091__resnet.yaml
TSB-U-DRIFT092,U,DRIFT,92,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-DRIFT092__resnet.yaml
TSB-U-DRIFT093,U,DRIFT,93,Medical,579,18562,18462,per_series,configs\tsb_auto\TSB-U-DRIFT093__resnet.yaml
TSB-U-DRIFT094,U,DRIFT,94,WebService,415,13322,4549,global,configs\tsb_auto\TSB-U-DRIFT094__resnet.yaml
TSB-U-DRIFT096,U,DRIFT,96,WebService,435,13973,4559,global,configs\tsb_auto\TSB-U-DRIFT096__resnet.yaml
TSB-U-DRIFT098,U,DRIFT,98,HumanActivity,3461,110800,48750,per_series,configs\tsb_auto\TSB-U-DRIFT098__resnet.yaml
TSB-U-DRIFT100,U,DRIFT,100,WebService,234,7531,3934,global,configs\tsb_auto\TSB-U-DRIFT100__resnet.yaml
TSB-U-OOD001,U,OOD,1,WebService,196,6317,4559,global,configs\tsb_auto\TSB-U-OOD001__resnet.yaml
TSB-U-OOD002,U,OOD,2,Synthetic,86,2787,1007,global,configs\tsb_auto\TSB-U-OOD002__resnet.yaml
TSB-U-OOD003,U,OOD,3,Medical,264,8500,2507,per_series,configs\tsb_auto\TSB-U-OOD003__resnet.yaml
TSB-U-OOD004,U,OOD,4,WebService,110,3582,3482,global,configs\tsb_auto\TSB-U-OOD004__resnet.yaml
TSB-U-OOD005,U,OOD,5,Medical,364,11687,11587,per_series,configs\tsb_auto\TSB-U-OOD005__resnet.yaml
TSB-U-OOD009,U,OOD,9,Environment,172,5549,2046,global,configs\tsb_auto\TSB-U-OOD009__resnet.yaml
TSB-U-OOD010,U,OOD,10,WebService,142,4599,4499,global,configs\tsb_auto\TSB-U-OOD010__resnet.yaml
TSB-U-OOD011,U,OOD,11,Facility,106,3447,1007,global,configs\tsb_auto\TSB-U-OOD011__resnet.yaml
TSB-U-OOD012,U,OOD,12,WebService,449,14411,4559,global,configs\tsb_auto\TSB-U-OOD012__resnet.yaml
TSB-U-OOD013,U,OOD,13,Synthetic,1109,35544,25000,global,configs\tsb_auto\TSB-U-OOD013__resnet.yaml
TSB-U-OOD014,U,OOD,14,Medical,579,18562,18462,per_series,configs\tsb_auto\TSB-U-OOD014__resnet.yaml
TSB-U-OOD015,U,OOD,15,Facility,392,12590,10766,global,configs\tsb_auto\TSB-U-OOD015__resnet.yaml
TSB-U-OOD017,U,OOD,17,Facility,472,15144,5000,global,configs\tsb_auto\TSB-U-OOD017__resnet.yaml
TSB-U-OOD018,U,OOD,18,Facility,728,23357,7482,global,configs\tsb_auto\TSB-U-OOD018__resnet.yaml
TSB-U-OOD019,U,OOD,19,Synthetic,1289,41300,25000,global,configs\tsb_auto\TSB-U-OOD019__resnet.yaml
TSB-U-OOD020,U,OOD,20,Sensor,1367,43800,43700,global,configs\tsb_auto\TSB-U-OOD020__resnet.yaml
TSB-U-OOD021,U,OOD,21,HumanActivity,257,8285,2631,per_series,configs\tsb_auto\TSB-U-OOD021__resnet.yaml
TSB-U-OOD022,U,OOD,22,Synthetic,84,2734,1007,global,configs\tsb_auto\TSB-U-OOD022__resnet.yaml
TSB-U-OOD024,U,OOD,24,HumanActivity,1032,33070,16000,per_series,configs\tsb_auto\TSB-U-OOD024__resnet.yaml
TSB-U-OOD025,U,OOD,25,Facility,728,23355,17500,global,configs\tsb_auto\TSB-U-OOD025__resnet.yaml
TSB-U-OOD026,U,OOD,26,Medical,184,5948,3000,per_series,configs\tsb_auto\TSB-U-OOD026__resnet.yaml
TSB-U-OOD028,U,OOD,28,Synthetic,1409,45134,20000,global,configs\tsb_auto\TSB-U-OOD028__resnet.yaml
TSB-U-OOD029,U,OOD,29,Medical,367,11800,7500,per_series,configs\tsb_auto\TSB-U-OOD029__resnet.yaml
TSB-U-OOD031,U,OOD,31,WebService,113,3675,3575,global,configs\tsb_auto\TSB-U-OOD031__resnet.yaml
TSB-U-OOD032,U,OOD,32,Medical,129,4187,1875,per_series,configs\tsb_auto\TSB-U-OOD032__resnet.yaml
TSB-U-OOD033,U,OOD,33,WebService,112,3639,3306,global,configs\tsb_auto\TSB-U-OOD033__resnet.yaml
TSB-U-OOD034,U,OOD,34,Medical,527,16900,7500,per_series,configs\tsb_auto\TSB-U-OOD034__resnet.yaml
TSB-U-OOD035,U,OOD,35,Environment,150,4852,2046,global,configs\tsb_auto\TSB-U-OOD035__resnet.yaml
TSB-U-OOD037,U,OOD,37,WebService,216,6975,4559,global,configs\tsb_auto\TSB-U-OOD037__resnet.yaml
TSB-U-OOD039,U,OOD,39,WebService,128,4137,4037,global,configs\tsb_auto\TSB-U-OOD039__resnet.yaml
TSB-U-OOD040,U,OOD,40,Medical,524,16800,16700,per_series,configs\tsb_auto\TSB-U-OOD040__resnet.yaml
TSB-U-OOD041,U,OOD,41,WebService,299,9616,4559,global,configs\tsb_auto\TSB-U-OOD041__resnet.yaml
TSB-U-OOD042,U,OOD,42,Medical,107,3474,1913,per_series,configs\tsb_auto\TSB-U-OOD042__resnet.yaml
TSB-U-OOD043,U,OOD,43,Medical,2849,91200,50000,per_series,configs\tsb_auto\TSB-U-OOD043__resnet.yaml
TSB-U-OOD044,U,OOD,44,Facility,662,21230,7174,global,configs\tsb_auto\TSB-U-OOD044__resnet.yaml
TSB-U-OOD046,U,OOD,46,WebService,368,11813,4559,global,configs\tsb_auto\TSB-U-OOD046__resnet.yaml
TSB-U-OOD047,U,OOD,47,Medical,358,11493,11393,per_series,configs\tsb_auto\TSB-U-OOD047__resnet.yaml
TSB-U-OOD048,U,OOD,48,Medical,182,5865,1875,per_series,configs\tsb_auto\TSB-U-OOD048__resnet.yaml
TSB-U-OOD050,U,OOD,50,Medical,579,18562,18462,per_series,configs\tsb_auto\TSB-U-OOD050__resnet.yaml
TSB-U-OOD052,U,OOD,52,Medical,129,4187,1875,per_series,configs\tsb_auto\TSB-U-OOD052__resnet.yaml
TSB-U-OOD053,U,OOD,53,Medical,184,5948,3000,per_series,configs\tsb_auto\TSB-U-OOD053__resnet.yaml
TSB-U-OOD055,U,OOD,55,Facility,1642,52600,13750,global,configs\tsb_auto\TSB-U-OOD055__resnet.yaml
TSB-U-OOD057,U,OOD,57,Medical,342,10995,10403,per_series,configs\tsb_auto\TSB-U-OOD057__resnet.yaml
TSB-U-OOD058,U,OOD,58,Medical,527,16900,7500,per_series,configs\tsb_auto\TSB-U-OOD058__resnet.yaml
TSB-U-OOD061,U,OOD,61,WebService,220,7083,3821,global,configs\tsb_auto\TSB-U-OOD061__resnet.yaml
TSB-U-OOD062,U,OOD,62,Medical,196,6332,6232,per_series,configs\tsb_auto\TSB-U-OOD062__resnet.yaml
TSB-U-OOD063,U,OOD,63,WebService,110,3582,3482,global,configs\tsb_auto\TSB-U-OOD063__resnet.yaml
TSB-U-OOD066,U,OOD,66,Facility,417,13400,7500,global,configs\tsb_auto\TSB-U-OOD066__resnet.yaml
TSB-U-OOD068,U,OOD,68,Synthetic,1021,32708,25000,global,configs\tsb_auto\TSB-U-OOD068__resnet.yaml
TSB-U-OOD069,U,OOD,69,Medical,499,16000,9567,per_series,configs\tsb_auto\TSB-U-OOD069__resnet.yaml
TSB-U-OOD070,U,OOD,70,WebService,282,9058,4559,global,configs\tsb_auto\TSB-U-OOD070__resnet.yaml
TSB-U-OOD071,U,OOD,71,Medical,558,17903,17803,per_series,configs\tsb_auto\TSB-U-OOD071__resnet.yaml
TSB-U-OOD072,U,OOD,72,WebService,142,4599,4499,global,configs\tsb_auto\TSB-U-OOD072__resnet.yaml
TSB-U-OOD073,U,OOD,73,Medical,499,16000,7500,per_series,configs\tsb_auto\TSB-U-OOD073__resnet.yaml
TSB-U-OOD074,U,OOD,74,Facility,2123,67995,32000,global,configs\tsb_auto\TSB-U-OOD074__resnet.yaml
TSB-U-OOD076,U,OOD,76,WebService,107,3487,3387,global,configs\tsb_auto\TSB-U-OOD076__resnet.yaml
TSB-U-OOD077,U,OOD,77,Medical,115,3718,3618,per_series,configs\tsb_auto\TSB-U-OOD077__resnet.yaml
TSB-U-OOD078,U,OOD,78,HumanActivity,4480,143411,48750,per_series,configs\tsb_auto\TSB-U-OOD078__resnet.yaml
TSB-U-OOD079,U,OOD,79,Medical,141,4556,4456,per_series,configs\tsb_auto\TSB-U-OOD079__resnet.yaml
TSB-U-OOD081,U,OOD,81,Medical,511,16390,7487,per_series,configs\tsb_auto\TSB-U-OOD081__resnet.yaml
TSB-U-OOD088,U,OOD,88,Medical,202,6508,2499,per_series,configs\tsb_auto\TSB-U-OOD088__resnet.yaml
TSB-U-OOD089,U,OOD,89,Medical,342,10998,10447,per_series,configs\tsb_auto\TSB-U-OOD089__resnet.yaml
TSB-U-OOD090,U,OOD,90,Medical,2849,91200,50000,per_series,configs\tsb_auto\TSB-U-OOD090__resnet.yaml
TSB-U-OOD091,U,OOD,91,Synthetic,1021,32708,25000,global,configs\tsb_auto\TSB-U-OOD091__resnet.yaml
TSB-U-OOD095,U,OOD,95,WebService,220,7097,4297,global,configs\tsb_auto\TSB-U-OOD095__resnet.yaml
TSB-U-OOD096,U,OOD,96,WebService,432,13861,3934,global,configs\tsb_auto\TSB-U-OOD096__resnet.yaml
TSB-U-OOD099,U,OOD,99,Environment,172,5549,2046,global,configs\tsb_auto\TSB-U-OOD099__resnet.yaml
TSB-U-OOD100,U,OOD,100,WebService,435,13973,4559,global,configs\tsb_auto\TSB-U-OOD100__resnet.yaml
TSB-U-STABLE001,U,STABLE,1,HumanActivity,257,8285,2631,per_series,configs\tsb_auto\TSB-U-STABLE001__resnet.yaml
TSB-U-STABLE002,U,STABLE,2,WebService,368,11813,4559,global,configs\tsb_auto\TSB-U-STABLE002__resnet.yaml
TSB-U-STABLE005,U,STABLE,5,Medical,542,17390,7516,per_series,configs\tsb_auto\TSB-U-STABLE005__resnet.yaml
TSB-U-STABLE006,U,STABLE,6,Medical,542,17390,7456,per_series,configs\tsb_auto\TSB-U-STABLE006__resnet.yaml
TSB-U-STABLE011,U,STABLE,11,WebService,160,5154,3919,global,configs\tsb_auto\TSB-U-STABLE011__resnet.yaml
TSB-U-STABLE012,U,STABLE,12,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-STABLE012__resnet.yaml
TSB-U-STABLE013,U,STABLE,13,Medical,178,5759,1875,per_series,configs\tsb_auto\TSB-U-STABLE013__resnet.yaml
TSB-U-STABLE015,U,STABLE,15,WebService,220,7097,4297,global,configs\tsb_auto\TSB-U-STABLE015__resnet.yaml
TSB-U-STABLE016,U,STABLE,16,Medical,1796,57530,14750,per_series,configs\tsb_auto\TSB-U-STABLE016__resnet.yaml
TSB-U-STABLE018,U,STABLE,18,Medical,1484,47530,14750,per_series,configs\tsb_auto\TSB-U-STABLE018__resnet.yaml
TSB-U-STABLE021,U,STABLE,21,WebService,368,11822,4559,global,configs\tsb_auto\TSB-U-STABLE021__resnet.yaml
TSB-U-STABLE022,U,STABLE,22,Medical,192,6200,1853,per_series,configs\tsb_auto\TSB-U-STABLE022__resnet.yaml
TSB-U-STABLE026,U,STABLE,26,Medical,264,8500,2507,per_series,configs\tsb_auto\TSB-U-STABLE026__resnet.yaml
TSB-U-STABLE027,U,STABLE,27,Facility,2123,67995,32000,global,configs\tsb_auto\TSB-U-STABLE027__resnet.yaml
TSB-U-STABLE030,U,STABLE,30,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-STABLE030__resnet.yaml
TSB-U-STABLE032,U,STABLE,32,Facility,548,17580,5925,global,configs\tsb_auto\TSB-U-STABLE032__resnet.yaml
TSB-U-STABLE036,U,STABLE,36,WebService,317,10195,4559,global,configs\tsb_auto\TSB-U-STABLE036__resnet.yaml
TSB-U-STABLE038,U,STABLE,38,Medical,1604,51370,15000,per_series,configs\tsb_auto\TSB-U-STABLE038__resnet.yaml
TSB-U-STABLE040,U,STABLE,40,WebService,101,3275,3175,global,configs\tsb_auto\TSB-U-STABLE040__resnet.yaml
TSB-U-STABLE043,U,STABLE,43,Facility,191,6168,3000,global,configs\tsb_auto\TSB-U-STABLE043__resnet.yaml
TSB-U-STABLE045,U,STABLE,45,WebService,105,3420,3320,global,configs\tsb_auto\TSB-U-STABLE045__resnet.yaml
TSB-U-STABLE048,U,STABLE,48,WebService,234,7531,3934,global,configs\tsb_auto\TSB-U-STABLE048__resnet.yaml
TSB-U-STABLE050,U,STABLE,50,WebService,127,4110,4010,global,configs\tsb_auto\TSB-U-STABLE050__resnet.yaml
TSB-U-STABLE055,U,STABLE,55,Medical,217,7000,2500,per_series,configs\tsb_auto\TSB-U-STABLE055__resnet.yaml
TSB-U-STABLE058,U,STABLE,58,Facility,5112,163632,50000,global,configs\tsb_auto\TSB-U-STABLE058__resnet.yaml
TSB-U-STABLE061,U,STABLE,61,Medical,98,3198,1875,per_series,configs\tsb_auto\TSB-U-STABLE061__resnet.yaml
TSB-U-STABLE063,U,STABLE,63,Medical,3842,123000,47500,per_series,configs\tsb_auto\TSB-U-STABLE063__resnet.yaml
